batch_id,grower,variety,receival_date_min,receival_date_max,grower_block,decfile_version,defect_1,defect_2,defect_3,leaf_present,premium,premium%,notes_batches
8285,bundara,granny_smith,,,,Z008,,,,,,,
8286,plunketts,pink_lady,,,,,,,,,,,
8289,googs,pink_lady,,,,,,,,,,,
8291,bundara,pink_lady,,,,,,,,,,,
8298,bundara,granny_smith,,,,,,,,,,,
8300,bundara,pink_lady,,,,,,,,,,,
8304,sagar_ardmona,pink_lady,,,,,,,,,,,
8305,pottenger,pink_lady,,,,,,,,,,,
8307,bundara,granny_smith,,,,,,,,,,,
8308,bundara,granny_smith,,,,,,,,,,,
8317,bundara,pink_lady,,,,,,,,,,,
8320,bundara,granny_smith,,,,,,,,,,,
8321,bundara,granny_smith,,,,,,,,,,,
8330,bundara,gala,,,,,,,,,,,
8331,bundara,gala,,,,,,,,,,,
8332,bundara,pink_lady,,,,,,,,,,,
8335,googs,gala,,,,,,,,,,,
8336,googs,gala,,,,,,,,,,,
8338,plunketts,gala,,,,,,,,,,,
8339,bundara,gala,,,,,,,,,,,
8340,googs,gala,,,,,,,,,,,
8341,googs,gala,,,,,,,,,,,
8345,googs,gala,,,,,,,,,,,
8347,googs,gala,,,,,,,,,,,
8348,mixed,mixed,,,,,,,,,,,
8350,googs,gala,,,,,,,,,,,
8351,bundara,gala,,,,,,,,,,,
8352,bundara,gala,,,,,,,,,,,
8356,bundara,pink_lady,,,,,,,,,,,
8358,plunketts,gala,,,,,,,,,,,
8359,bundara,gala,,,,,,,,,,,
8361,bhangu,gala,,,,,,,,,,,
8362,googs,gala,,,,,,,,,,,
8363,googs,gala,,,,,,,,,,,
8366,bhangu,gala,,,,,,,,,,,
8367,googs,gala,,,,,,,,,,,
8370,googs,gala,,,,,,,,,,,
8372,sciacca,gala,,,,,,,,,,,
8375,bundara,pink_lady,,,,,,,,,,,
8378,yuvi_bhinder_farm,gala,,,,,,,,,,,
8379,pottenger,gala,,,,,,,,,,,
8380,bundara,gala,,,,,,,,,,,
8386,gs_farms_australia,gala,,,,,,,,,,,
8387,yuvi_bhinder_farm,gala,,,,,,,,,,,
8388,pottenger,gala,,,,,,,,,,,
8389,adm_farm,gala,,,,,,,,,,,
8390,bhangu,gala,,,,,,,,,,,
8391,googs,gala,,,,,,,,,,,
8394,sciacca,gala,,,,,,,,,,,
8398,pottenger,pink_lady,,,,,,,,,,,
8399,bundara,pink_lady,,,,,,,,,,,
8400,bhangu,gala,,,,,,,,,,,
8401,sagar_ardmona,gala,,,,,,,,,,,
8403,pottenger,gala,,,,,,,,,,,
8407,bundara,pink_lady,,,,,,,,,,,
8408,googs,pink_lady,,,,,,,,,,,
8410,googs,gala,,,,,,,,,,,
8411,googs,gala,,,,,,,,,,,
8412,gs_farms_australia,gala,,,,,,,,,,,
8413,sagar_produce,gala,,,,,,,,,,,
8415,sagar_ardmona,gala,,,,,,,,,,,
8416,punjab,gala,,,,,,,,,,,
8419,sciacca,gala,,,,,,,,,,,
8422,masalki,pink_lady,,,,,,,,,,,
8424,uppal,gala,,,,,,,,,,,
8425,gs_farms_australia,gala,,,,,,,,,,,
8426,superfresh,gala,,,,,,,,,,,
8427,adm_farm,gala,,,,,,,,,,,
8428,pottenger,gala,,,,,,,,,,,
8429,bundara,gala,,,,,,,,,,,
8433,googs,gala,,,,,,,,,,,
8434,googs,gala,,,,,,,,,,,
8436,googs,gala,,,,,,,,,,,
8437,sagar_ardmona,gala,,,,,,,,,,,
8438,sagar_produce,gala,,,,,,,,,,,
8439,googs,gala,,,,,,,,,,,
8440,punjab,gala,,,,,,,,,,,
8443,masalki,pink_lady,,,,,,,,,,,
8446,googs,pink_lady,,,,,,,,,,,
8447,gs_farms_australia,gala,,,,,,,,,,,
8448,uppal,gala,,,,,,,,,,,
8452,googs,pink_lady,,,,,,,,,,,
8454,bundara,kanzi,,,,,,,,,,,
8455,parris,gala,,,,,,,,,,,
8458,googs,gala,,,,,,,,,,,
8462,plunketts,pink_lady,22/04/2025,22/04/2025,,,,,,,,,
8463,bundara,pink_lady,23/04/2025,23/04/2025,,,,,,,,,
8466,bundara,granny_smith,11/03/2026,11/03/2026,,,,,,,,,
8467,plunketts,granny_smith,,,,,,,,,,,
8471,bundara,kanzi,16/03/2026,16/03/2026,,,,,,,,,
8474,bestview_orchards,gala,03/03/2026,03/03/2026,,,,,,,,,
8477,bundara,rockit,10/03/2026,10/03/2026,,,,,,,,,
8479,bundara,rockit,13/03/2026,13/03/2026,,,,,,,,,
8481,bestview_orchards,gala,03/03/2026,03/03/2026,,,,,,,,,
8486,yuvi_bhinder_farm,gala,24/02/2026,24/02/2026,,,,,,,,,
8487,parris,gala,25/02/2026,25/02/2026,,,,,,,,,
8482,bestview_orchards,gala,28/02/2026,28/02/2026,,,,,,,,,
8489,bundara,pink_lady,22/04/2025,22/04/2025,,,,,,,,,
8490,plunketts,granny_smith,18/03/2026,18/03/2026,,,,,,,,,
8493,bundara,rockit,16/03/2026,16/03/2026,,,,,,,,,
8497,sagar produce,gala,03/03/2026,03/03/2026,,,,,,,,,
8500,uppal,gala,03/03/2026,03/03/2026,,,,,,,,,
8498,sagar ardmona,gala,25/02/2026,25/02/2026,,,,,,,,,
8501,red_rich,kanzi,22/03/2026,22/03/2026,,,,,,,,,
8502,bundara,kanzi,23/03/2026,23/03/2026,,,,,,,,,
8503,bundara,rockit,24/03/2026,24/03/2026,,,,,,,,,
8506,mj_hall,red_delicious,16/03/2026,16/03/2026,,,,,,,,,
8507,red_rich,kanzi,24/03/2026,24/03/2026,,,,,,,,,
8511,masalki,pink_lady,27/03/2026,27/03/2026,,,,,,,,,
8518,bundara,rockit,25/03/2026,25/03/2026,,,,,,,,,
8521,bundara,kanzi,24/03/2026,24/03/2026,,,,,,,,,
8522,ardrossan,kanzi,28/03/2026,28/03/2026,,,,,,,,,
8524,ardrossan,kanzi,28/03/2026,28/03/2026,,,,,,,,,
8525,plunketts,granny_smith,20/03/2026,20/03/2026,,,,,,,,,
8527,yuvi_bhinder_farm,granny_smith,24/03/2026,24/03/2026,,,,,,,,,
8527,yuvi_bhinder_farm,granny_smith,24/03/2026,24/03/2026,,,,,,,,,
8529,calimna_lenne ,granny_smith,30/03/2026,30/03/2026,,,,,,,,,
8532,radevski,pink_lady,01/04/2026,01/04/2026,,,,,,,,,
8534,bundara,pink_lady,31/03/2026,31/03/2026,,,,,,,,,
8536,sciacca,granny_smith,,,,,,,,,,,
8537,bundara,rockit,01/04/2026,01/04/2026,,,,,,,,,
8539,ardrossan,kanzi,03/04/2026,03/04/2026,,,,,,,,,
8542,calimna_lenne ,bravo,01/04/2026,01/04/2026,,,,,,,,,
8543,seven_springs,kanzi,02/04/2026,02/04/2026,,,,,,,,,
8548,plunketts,pink_lady,07/04/2026,07/04/2026,,,,,,,,,
8549,bundara,kanzi,02/04/2026,02/04/2026,,,,,,,,,
8552,nicol,kanzi,09/04/2026,09/04/2026,,,,,,,,,
8554,pottenger,gala,17/02/2026,17/02/2026,,,,,,,,,
8555,googs,gala,18/02/2026,18/02/2026,,,,,,,,,
8559,adm_farm,pink_lady,11/04/2026,11/04/2026,,,,,,,,,
8560,bundara,pink_lady,10/04/2026,10/04/2026,,,,,,,,,
8563,plunketts,pink_lady,11/04/2026,11/04/2026,,,,,,,,,
8564,plunketts,pink_lady,11/04/2026,11/04/2026,,,,,,,,,
8567,sagar_produce,granny_smith,11/04/2026,11/04/2026,,,,,,,,,
8569,plunketts,granny_smith,20/03/2026,20/03/2026,,,,,,,,,
8570,acn_orchards,granny_smith,11/04/2026,11/04/2026,,,,,,,,,
8571,pottenger,gala,16/02/2026,19/02/2026,,O004,holes,,,no,yes,50,red%:595
8577,googs,gala,12/02/2026,19/02/2026,"G3,G5",O004,holes,sunburn,,no,yes,45,
8581,bundara,gala,14/02/2026,14/02/2026,B4,O004,marks_skin,holes,sunburn,no,yes,45,red%:597
8583,mj_hall,modi,16/04/2026,16/04/2026,,O004,holes,russets,sunburn,no,no,80,gala dec file
8590,ardrossan,kanzi,07/04/2026,09/04/2026,,N002,holes,stem_crack,lenticel,no,no,0,leaf_retip=no
8591,plunketts,pink_lady,14/04/2026,15/04/2026,P7,O021,bruises,lenticel,holes,no,yes,40,red%:586
8592,adm_farm,pink_lady,18/04/2026,18/04/2026,,O021,holes,bruises,decay,yes,yes,40,red%:586
8596,pottenger,pink_lady,16/04/2026,17/04/2026,,O021,major,calyx_minor,scab_minor,yes,no,40,scab_minor affecting modes on holes
8597,bhangu,pink_lady,17/04/2026,17/04/2026,,O021,decay,limrubs,,yes,no,40,big size fruit
8600,hazara,bravo,10/04/2026,14/04/2026,,J013,sunburn_major,crack_skin,holes,no,no,0,samples collected
8601,kaarimba,bravo,18/04/2026,18/04/2026,,J013,cuts,dirt_stem,san_jose,no,no,0,samples collected
8607,bundara,pink_lady,16/04/2026,16/04/2026,B15,O021,limrubs,major,bruises,no,yes,40,red%:586
8610,plunketts,pink_lady,16/04/2026,18/04/2026,P18,O021,scab,insect,bruises,no,yes,40,red%:586
8614,yuvi_bhinder_farm,granny_smith,23/04/2026,23/04/2026,,Z011,bruises,sunburn,leaf,yes,no,0,Office green%:433
8619,googs,gala,10/04/2026,12/04/2026,"G3,G5",O004,holes,sunburn,russets,no,yes,45,
8622,bundara,gala,13/02/2026,13/02/2026,"B4,B6",O004,holes,sunburn,marks_skin,no,yes,45,
8629,hazara,bravo,14/04/2026,17/04/2026,,J013,sunburn_major,major,hails_major,yes,no,0,
8635,sciacca,granny_smith,28/04/2026,28/04/2026,contract,Z011,dirt,holes,leaf_calyx,no,no,0,new decfile applied
8636,sciacca,pink_lady,28/04/2026,29/04/2026,contract,O021,dirt,bruises,holes,yes,no,0,
