date_replace,solenoid_id,solenoid_issue,canal_number,lane_number,click_site,recorded_site,drop_test_mode,status_solenoids,reuse_canal,reuse_lane
2026-04-23,S1,double_click,2,2,right,same,"short,normal",reuse,,
2026-04-23,S2,half_click,25,2,left,both,"short,normal",reuse,,
2026-04-29,S5,fine,drop_test,3,fine,right,"short,normal",reuse,,
2026-04-29,S6,fine,drop_test,2,fine,right,"short,normal",reuse,,
2026-04-29,S7,water_in,drop_test,1,both,same,"short,normal",reuse,,
2026-04-30,S3,fine,14,2,fine,left,once in drop test,reuse,,
2026-04-30,S4,doucle_click,24,2,left,same,,reuse,,
2026-04-30,S8,double_click,29,3,right,same,,faulty,,
2026-04-30,S9,water_in,31,3,both,right,normal,discard_rust,,
2026-05-12,S10,water_in,38,1,both,right,short,check,,
2026-05-12,S11,fine,41,3,fine,right,short,reuse,,
2026-05-12,S12,slow_click,46,2,left,same,short,reuse,,
2026-05-12,S13,"water_in,default_click",51,2,left,same,"normal,short",check,,
2026-05-12,S14,"water_in,double_click",54,2,left,same,"normal,short",faulty,,
2026-05-14,S15,fine,13,2,right,left,short,reuse,,
2026-05-14,S16,double_click,20,2,both,right,"normal,short",reuse,,
2026-05-16,S17,water_in,19,1,left,right,short,discard_rust,,
2026-05-16,S18,water_in,19,2,fine,right,short,discard_rust,,
2026-05-19,S19,water_in,2,3,left,right,short,reuse,,
2026-05-19,S20,fine,53,1,fine,left,short,reuse,,
2026-05-19,S21,water_in,53,2,fine,right,short,discard_rust,,
2026-05-25,S22,half_click,29,3,left,left,normal,reuse,24,2
2026-05-28,S23,double_click,52,3,left,left,58,reuse,,
2026-05-29,S24,water_in,40,2,fine,left,58,discard_rust,,
2026-06-04,S25,fine,24,2,fine,left,normal,reuse,,
2026-06-04,S26,fine,31,2,fine,left,normal,reuse,12,2
2026-06-04,S27,fine,31,3,fine,right,normal,reuse,24,2
2026-06-09,S22,half_click,24,2,left,left,58,reuse,,
2026-06-18,S28,water_in,12,2,both,both,normal,discard_rust,,
